pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
357.600000,222.600000,343.940000,414.920000,350.940804,276.957715,349.708668,325.909719,352.172940,289.014859,352.139580,298.174179,350.658126,306.805386,350.367424,313.226100,350.071970,319.331394
350.040000,210.410000,347.980000,414.930000,348.476531,269.000000,349.845572,323.980576,348.003788,279.467412,348.720840,294.761841,349.062714,308.009741,349.481061,312.148695,349.776515,318.074422
342.300000,208.850000,352.990000,414.920000,344.780123,266.106285,347.655107,325.909719,344.950758,278.569575,345.640152,291.139299,345.935606,302.092916,346.920455,312.866965,347.609848,318.792692
344.184325,219.012548,353.030000,414.060000,344.369411,274.064000,346.970587,323.739433,344.369411,285.397716,345.530015,294.159664,346.327721,309.214095,346.231061,313.944370,346.526515,319.331394
344.220000,215.770000,350.930000,414.020000,344.917027,268.276571,346.970587,325.186290,346.422971,281.298287,345.985847,292.152407,346.669595,304.798129,346.231061,309.993885,346.231061,319.151827
344.220000,225.930000,350.960000,414.040000,345.190835,278.886858,347.381299,325.909719,346.012259,287.809144,346.555637,295.765470,346.555637,306.203209,346.231061,310.712155,346.526515,318.792692
344.180000,223.180000,354.020000,414.040000,344.369411,276.716572,347.792011,324.704004,344.917027,287.085716,345.643973,294.159664,346.897512,304.998854,346.920455,311.609993,347.117424,317.715287
343.600000,229.250000,354.070000,414.040000,343.137274,282.504001,344.506315,326.150861,343.958698,292.632002,344.618351,299.378534,345.302099,307.407563,344.753788,312.866965,344.359848,319.331394
341.430000,227.960000,352.950000,414.030000,340.809906,282.745144,342.726562,325.427433,342.726562,292.632002,341.883359,300.582888,342.567107,308.009741,342.784091,312.687397,342.390152,319.870097
339.850000,226.500000,352.000000,414.040000,339.577770,281.298287,343.137274,324.462861,339.988482,291.426287,341.313569,300.181437,342.225233,307.407563,342.094697,312.148695,341.996212,319.690529
340.160000,226.890000,351.940000,414.040000,340.809906,282.021715,343.958698,326.150861,342.452754,292.873145,341.655443,299.378534,342.225233,309.013369,342.488636,313.405667,343.276515,319.690529
342.570000,219.470000,351.950000,414.040000,342.315850,275.269715,344.780123,325.427433,343.958698,288.532573,343.364813,297.572002,342.795023,307.809015,343.571970,313.226100,344.162879,319.870097
343.910000,224.600000,355.960000,414.030000,342.863466,276.957715,348.202723,326.150861,344.369411,288.532573,345.985847,296.969825,346.669595,306.604660,347.215909,312.687397,347.314394,319.151827
